                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.0298,                0.91517,                 1.5635,                 0.9073,                0.58707,                0.64837,                0.48206,                 1.0257,                0.94838,                 1.6146,              0.0013105,              0.0013105,              0.0013105
                     57,                 1.0173,                0.95696,                 1.5572,                0.90722,                0.59948,                0.65043,                0.47651,                 1.0228,                 1.0004,                 1.5835,              0.0013039,              0.0013039,              0.0013039
                     58,                0.99306,                 0.9289,                 1.5798,                0.91599,                0.61352,                0.66045,                0.47393,                 1.0098,                0.97211,                 1.5687,              0.0012973,              0.0012973,              0.0012973
                     59,                0.99482,                0.97799,                  1.566,                0.89355,                0.62498,                0.66576,                0.49105,                0.99024,                0.90216,                 1.5283,              0.0012907,              0.0012907,              0.0012907
                     60,                 1.0104,                0.88421,                 1.5206,                0.89796,                0.61838,                0.66774,                0.48451,                0.98523,                0.86557,                 1.5491,              0.0012841,              0.0012841,              0.0012841
                     61,                0.95642,                0.91063,                 1.4843,                0.91282,                0.61529,                0.66122,                0.49067,                0.96908,                0.88482,                 1.5218,              0.0012775,              0.0012775,              0.0012775
                     62,                0.96208,                0.88758,                 1.5168,                0.91877,                0.63526,                0.66905,                0.50343,                0.94317,                0.87302,                 1.5053,              0.0012709,              0.0012709,              0.0012709
                     63,                0.94719,                0.89735,                  1.506,                0.91725,                0.60925,                0.66215,                0.48642,                 1.0032,                0.90749,                 1.5627,              0.0012643,              0.0012643,              0.0012643
                     64,                0.94168,                0.88465,                 1.4919,                0.89788,                0.63091,                0.66243,                0.49478,                0.97113,                0.87338,                 1.5345,              0.0012577,              0.0012577,              0.0012577
                     65,                0.98204,                0.91072,                 1.5123,                0.88065,                0.60869,                0.64478,                  0.489,                0.96242,                0.89088,                 1.5479,              0.0012511,              0.0012511,              0.0012511
                     66,                0.97664,                 0.8935,                 1.4985,                0.88931,                0.61713,                0.66103,                0.49955,                0.96917,                0.84266,                 1.5616,              0.0012445,              0.0012445,              0.0012445
                     67,                 1.0143,                0.91142,                 1.5504,                 0.8812,                0.61841,                0.66427,                0.50067,                0.97404,                0.85363,                 1.5613,              0.0012379,              0.0012379,              0.0012379
                     68,                0.98282,                0.89573,                 1.5296,                0.88084,                0.61113,                0.65863,                0.49183,                0.98533,                0.85511,                 1.5991,              0.0012313,              0.0012313,              0.0012313
                     69,                0.99494,                0.93711,                 1.5474,                0.91911,                0.59092,                0.65701,                 0.4883,                 1.0043,                 0.8814,                 1.5675,              0.0012247,              0.0012247,              0.0012247
                     70,                0.96125,                0.89654,                 1.4979,                0.87923,                0.61597,                0.65339,                0.49111,                0.94928,                0.87108,                 1.5364,              0.0012181,              0.0012181,              0.0012181
                     71,                0.92644,                0.87479,                 1.5043,                0.88572,                0.61035,                0.65587,                0.48948,                0.97053,                 0.8643,                 1.5358,              0.0012115,              0.0012115,              0.0012115
                     72,                0.95666,                0.87502,                 1.5107,                 0.8982,                0.62512,                0.67121,                0.49813,                0.94744,                0.85888,                 1.5469,              0.0012049,              0.0012049,              0.0012049
                     73,                0.95358,                0.87766,                 1.5168,                0.89629,                0.61237,                0.66928,                0.49839,                 0.9236,                0.83163,                 1.5009,              0.0011983,              0.0011983,              0.0011983
                     74,                0.94555,                0.91471,                 1.4593,                0.91293,                0.61369,                0.67462,                0.49682,                0.97956,                0.87614,                 1.5355,              0.0011917,              0.0011917,              0.0011917
                     75,                0.90888,                0.83449,                 1.3914,                0.89978,                0.62907,                0.67445,                0.50564,                 0.9177,                0.81408,                 1.5033,              0.0011851,              0.0011851,              0.0011851
                     76,                0.90087,                0.86841,                 1.4319,                0.88006,                0.64764,                0.67389,                0.51088,                0.91741,                0.82588,                 1.5071,              0.0011785,              0.0011785,              0.0011785
                     77,                0.91623,                0.87097,                 1.5018,                0.90852,                0.62659,                0.67257,                0.51517,                0.92321,                0.86158,                  1.497,              0.0011719,              0.0011719,              0.0011719
                     78,                0.89139,                0.86459,                  1.432,                0.87709,                0.62903,                0.67512,                0.51027,                0.90736,                 0.8221,                 1.5245,              0.0011653,              0.0011653,              0.0011653
                     79,                0.85747,                0.80422,                 1.4263,                0.88458,                0.63631,                0.67758,                0.51496,                0.89248,                0.79549,                 1.4677,              0.0011587,              0.0011587,              0.0011587
                     80,                0.94723,                0.84979,                 1.4625,                0.92059,                0.63315,                0.68057,                0.51002,                0.89831,                0.82142,                  1.479,              0.0011521,              0.0011521,              0.0011521
                     81,                0.90055,                0.84318,                 1.4583,                0.89962,                 0.6372,                0.67848,                0.51248,                0.88142,                0.79672,                 1.4364,              0.0011455,              0.0011455,              0.0011455
                     82,                0.86212,                0.77462,                 1.3796,                 0.8993,                0.63068,                0.67652,                 0.5106,                0.90266,                0.79945,                 1.4548,              0.0011389,              0.0011389,              0.0011389
                     83,                0.88832,                0.82031,                 1.4608,                0.92136,                 0.6266,                0.68549,                0.51608,                0.91044,                0.78813,                 1.4825,              0.0011323,              0.0011323,              0.0011323
                     84,                0.94597,                0.85756,                 1.4688,                0.89641,                0.63378,                0.67466,                0.50766,                 0.9371,                0.81222,                 1.4817,              0.0011257,              0.0011257,              0.0011257
                     85,                0.87951,                0.81387,                 1.4723,                0.90788,                0.63207,                0.67512,                 0.5132,                0.91484,                0.81543,                 1.4831,              0.0011191,              0.0011191,              0.0011191
                     86,                0.97921,                0.82707,                 1.5097,                0.89326,                0.62483,                0.67154,                  0.507,                0.93987,                0.83139,                 1.4872,              0.0011125,              0.0011125,              0.0011125
                     87,                 0.9407,                0.81579,                 1.4617,                0.90279,                 0.6325,                0.67723,                0.51317,                0.90646,                0.80483,                 1.4484,              0.0011059,              0.0011059,              0.0011059
                     88,                0.90612,                0.83225,                 1.4866,                 0.9168,                0.62102,                0.67383,                0.50374,                0.95554,                0.80738,                 1.4846,              0.0010993,              0.0010993,              0.0010993
                     89,                0.89974,                0.80699,                 1.4482,                 0.9148,                 0.6346,                0.67927,                 0.4966,                 0.9353,                0.79698,                 1.4883,              0.0010927,              0.0010927,              0.0010927
                     90,                0.88414,                0.77648,                 1.4296,                0.87684,                0.63857,                0.66598,                0.49484,                0.93038,                0.80026,                 1.4619,              0.0010861,              0.0010861,              0.0010861
                     91,                0.86176,                0.77673,                 1.4249,                0.86269,                0.64235,                0.66603,                0.50408,                0.90948,                0.76514,                  1.468,              0.0010795,              0.0010795,              0.0010795
                     92,                0.88935,                 0.7688,                 1.4186,                0.87327,                0.64787,                0.68216,                0.52093,                0.89038,                0.76608,                 1.4362,              0.0010729,              0.0010729,              0.0010729
                     93,                0.87403,                0.76494,                 1.3854,                0.93653,                0.61522,                0.69092,                0.50739,                0.89947,                0.77311,                 1.4585,              0.0010663,              0.0010663,              0.0010663
                     94,                0.88693,                0.80271,                 1.4038,                0.91491,                0.61195,                0.67577,                0.49862,                0.92401,                0.81218,                 1.4766,              0.0010597,              0.0010597,              0.0010597
                     95,                0.88322,                0.78202,                 1.4048,                0.88939,                0.61684,                0.66604,                0.50918,                0.92048,                0.84569,                 1.4756,              0.0010531,              0.0010531,              0.0010531
                     96,                0.88698,                 0.8162,                 1.4217,                0.89724,                0.62013,                0.68425,                0.52101,                0.85326,                0.77782,                 1.4488,              0.0010465,              0.0010465,              0.0010465
                     97,                0.81509,                0.70909,                 1.3813,                0.89226,                0.62926,                 0.6728,                0.50193,                0.88775,                0.77714,                  1.453,              0.0010399,              0.0010399,              0.0010399
                     98,                0.83947,                0.77268,                 1.4131,                0.87762,                0.61762,                0.66506,                0.50145,                0.90815,                0.77637,                 1.4648,              0.0010333,              0.0010333,              0.0010333
                     99,                 0.8665,                0.74302,                 1.4029,                0.90709,                0.61216,                0.65969,                0.50037,                 0.8921,                0.78843,                  1.456,              0.0010267,              0.0010267,              0.0010267
                    100,                0.84729,                0.75041,                  1.388,                0.90994,                0.63226,                0.68484,                0.52051,                 0.8856,                 0.7485,                 1.4404,              0.0010201,              0.0010201,              0.0010201
                    101,                0.85909,                0.74509,                 1.3672,                0.91022,                0.63515,                0.69089,                 0.5216,                0.86784,                 0.7628,                 1.4525,              0.0010135,              0.0010135,              0.0010135
                    102,                0.87189,                0.76609,                 1.4059,                0.93595,                0.63143,                0.68405,                0.51861,                0.88476,                0.74605,                 1.4416,              0.0010069,              0.0010069,              0.0010069
                    103,                0.80172,                 0.6829,                 1.3485,                0.92219,                0.63875,                0.68079,                0.51834,                0.88733,                 0.7134,                 1.4191,              0.0010003,              0.0010003,              0.0010003
                    104,                0.80844,                  0.687,                 1.3442,                0.92009,                0.63056,                0.68843,                0.51941,                0.86443,                0.72076,                 1.4093,             0.00099367,             0.00099367,             0.00099367
                    105,                0.82828,                0.74155,                 1.3664,                 0.8792,                0.66099,                0.69133,                0.52801,                0.84789,                0.70687,                  1.406,             0.00098706,             0.00098706,             0.00098706
                    106,                 0.7986,                0.71267,                 1.3557,                0.92143,                0.65456,                0.69515,                0.52744,                0.85992,                0.70858,                 1.4265,             0.00098046,             0.00098046,             0.00098046
                    107,                0.77946,                0.69096,                 1.3411,                0.92474,                0.64548,                0.70254,                0.53788,                 0.8603,                 0.7082,                 1.4045,             0.00097386,             0.00097386,             0.00097386
                    108,                0.79469,                 0.7103,                 1.3304,                0.92581,                0.63719,                0.69727,                 0.5263,                0.86572,                0.71471,                  1.432,             0.00096726,             0.00096726,             0.00096726
                    109,                0.80393,                0.68005,                 1.3384,                0.94383,                0.64123,                0.69242,                0.52341,                0.85624,                0.70151,                 1.4156,             0.00096066,             0.00096066,             0.00096066
                    110,                0.84595,                  0.687,                 1.3326,                0.94055,                0.64607,                0.70149,                0.52063,                0.85264,                0.69607,                 1.4285,             0.00095406,             0.00095406,             0.00095406
